paisagem_ano;ano;padrao; PAFRAC 
22466_1985;1985;geo;1,154
22466_1990;1990;geo;1,1418
22466_1995;1995;geo;1,2503
22466_2000;2000;geo;1,3059
22466_2005;2005;geo;1,3436
22466_2010;2010;geo;1,3324
22466_2015;2015;geo;1,3188
22568_1985;1985;geo;1,1821
22568_1990;1990;geo;1,2182
22568_1995;1995;geo;1,2312
22568_2000;2000;geo;1,2651
22568_2005;2005;geo;1,2267
22568_2010;2010;geo;1,2205
22568_2015;2015;geo;1,2198
22668_1985;1985;geo;1,1823
22668_1990;1990;geo;1,2217
22668_1995;1995;geo;1,2536
22668_2000;2000;geo;1,2248
22668_2005;2005;geo;1,2614
22668_2010;2010;geo;1,2452
22668_2015;2015;geo;1,236
22668_2_1985;1985;geo;1,221
22668_2_1990;1990;geo;1,1779
22668_2_1995;1995;geo;1,2151
22668_2_2000;2000;geo;1,2736
22668_2_2005;2005;geo;1,2955
22668_2_2010;2010;geo;1,2834
22668_2_2015;2015;geo;1,2813
22669_1985;1985;geo;1,2
22669_1990;1990;geo;1,2157
22669_1995;1995;geo;1,221
22669_2000;2000;geo;1,2327
22669_2005;2005;geo;1,3084
22669_2010;2010;geo;1,2891
22669_2015;2015;geo;1,2507
22867_1985;1985;geo;1,1817
22867_1990;1990;geo;1,1479
22867_1995;1995;geo;1,199
22867_2000;2000;geo;1,3165
22867_2005;2005;geo;1,3031
22867_2010;2010;geo;1,3233
22867_2015;2015;geo;1,2919
23069_2_1985;1985;geo;1,2834
23069_2_1990;1990;geo;1,3007
23069_2_1995;1995;geo;1,2346
23069_2_2000;2000;geo;1,2352
23069_2_2005;2005;geo;1,2589
23069_2_2010;2010;geo;1,2519
23069_2_2015;2015;geo;1,2212
00167_1985;1985;esp;1,3847
00167_1990;1990;esp;1,4352
00167_1995;1995;esp;1,4214
00167_2000;2000;esp;1,3912
00167_2005;2005;esp;1,402
00167_2010;2010;esp;1,3999
00167_2015;2015;esp;1,4011
22863_1985;1985;esp;1,2493
22863_1990;1990;esp;1,3006
22863_1995;1995;esp;1,3219
22863_2000;2000;esp;1,3266
22863_2005;2005;esp;1,3045
22863_2010;2010;esp;1,3126
22863_2015;2015;esp;1,3206
23069_1985;1985;esp;1,3988
23069_1990;1990;esp;1,374
23069_1995;1995;esp;1,3572
23069_2000;2000;esp;1,3322
23069_2005;2005;esp;1,304
23069_2010;2010;esp;1,2897
23069_2015;2015;esp;1,2832
23159_1985;1985;esp;1,2195
23159_1990;1990;esp;1,2558
23159_1995;1995;esp;1,2494
23159_2000;2000;esp;1,2717
23159_2005;2005;esp;1,2818
23159_2010;2010;esp;1,2992
23159_2015;2015;esp;1,3096
23167_1985;1985;esp;1,2719
23167_1990;1990;esp;1,3183
23167_1995;1995;esp;1,2771
23167_2000;2000;esp;1,286
23167_2005;2005;esp;1,2639
23167_2010;2010;esp;1,2575
23167_2015;2015;esp;1,2491
23267_1985;1985;esp;1,3749
23267_1990;1990;esp;1,3955
23267_1995;1995;esp;1,3791
23267_2000;2000;esp;1,3628
23267_2005;2005;esp;1,3478
23267_2010;2010;esp;1,3396
23267_2015;2015;esp;1,3738
23267_2_1985;1985;esp;1,3317
23267_2_1990;1990;esp;1,3536
23267_2_1995;1995;esp;1,3448
23267_2_2000;2000;esp;1,3314
23267_2_2005;2005;esp;1,2929
23267_2_2010;2010;esp;1,2706
23267_2_2015;2015;esp;1,255
