paisagem_ano;ano;padrao;estado;areaha_florprima;perc_cobert;nfrag<1ha;nfrag_1-10ha;nfrag_10-100ha;nfrag_100-250ha;nfrag_250-500ha;nfrag_500-1000ha;nfrag>1000ha;nfrag_total;area_borda100;area_borda300;area_borda500;area_borda1000;area_core100;area_core300;area_core500;area_core1000; PAFRAC ; ENN_MN ; ENN_AM ; ENN_SD;ENN_CV;SHAPE_AM;PROX_CV;CORE_CV100;CORE_CV300;CORE_CV500;CORE_CV1000;CAI_AM100;CAI_AM300;CAI_AM500;CAI_AM1000;CLUMPY
22466_1985;1985;geo;PA;200612,84;80,25;0;13;5;2;0;2;2;24;64407648,42;168576412;262867768,4;463357336,3;194174;183766,58;174346,08;154277,1;1,154;466,1005;73,7441;499,1541;107,0915178;3,9329;223,9319;453,1935;455,1221;456,4006;458,1722;97,1393;91,8959;87,2835;77,1626;
22466_1990;1990;geo;PA;195781,37;78,31;0;7;3;2;0;2;4;18;62376321;171085908,1;270788720,6;481464414;189546,2;178686,05;168725,51;147634,92;1,1418;524,5371;78,8965;756,6775;144,2562404;3,2202;153,8289;393,3509;397,5329;400,8819;406,8051;97,1777;91,6079;86,5877;75,706;
22466_1995;1995;geo;PA;175073,67;70,03;2;33;7;3;0;4;3;52;101276711,5;263924164,6;403716877,9;663786373,2;164952,55;148704,27;134737,75;108695,03;1,2503;334,3421;70,2895;454,6706;135,9896346;5,7899;185,3786;742,938;751,7007;757,1461;766,0624;94,8793;85,5081;77,5744;62,4695;
22466_2000;2000;geo;PA;146707,2;58,68;11;75;26;3;1;5;3;124;186883084,6;418964115;572720757;836899702;128030,47;104840,64;89474,91;63017,23;1,3059;212,0789;70,5025;352,3635;166,1473631;12,5782;164,4083;1141,7285;1165,7486;1178,1668;1193,3877;88,6227;72,2853;61,7432;43,4109;
22466_2005;2005;geo;PA;82508,54;33,00;22;245;110;17;11;3;5;413;294582625,3;555537274,5;666716255,1;774653563,9;53081,88;26999,54;15879,84;5043,18;1,3436;192,7003;78,9725;320,7045;166,4265702;19,4752;243,8948;1690,7566;1793,8953;1811,537;1901,4638;67,7516;34,0423;20,034;6,3444;
22466_2010;2010;geo;PA;59145,66;23,66;94;477;205;29;16;5;8;834;265383780,7;442046335,6;501397958,1;559608628,7;32705,49;15053,71;9115,75;3184,8;1,3324;156,8519;79,5605;252,1296;160,7437334;6,9932;326,543;1231,5668;1781,9629;2240,056;2688,1213;58,9796;26,5144;15,967;5,7358;
22466_2015;2015;geo;PA;42556,19;17,02;154;701;206;34;12;6;6;1119;202257086,8;310103256,5;350001028,4;399012513,2;22462,31;11676,16;7686,71;2654,93;1,3188;161,2884;85,72;243,3062;150,8516422;4,5153;536,7434;1630,6599;2435,4127;2798,3681;3135,5887;56,1359;28,2224;18,6258;6,7292;
22568_1985;1985;geo;MT;217841,9;87,14;0;5;3;1;0;0;1;10;66480712,23;180920647,1;285961757,1;532058648,5;211193,83;199749,83;189265,28;164636,03;1,1821;490,4418;61,3983;633,9454;129,2600671;4,4254;123,2937;299,788;299,969;300;300;97,1901;91,8287;87,1716;75,7645;
22568_1990;1990;geo;MT;204314,58;81,73;5;4;4;1;1;0;1;16;83350380,5;222377515,9;346220893,9;624667976,2;195982,3;182091,62;169718,25;141847,79;1,2182;307,0897;62,6777;632,5165;205,971252;5,7174;109,1464;386,2533;386,8278;387,1496;387,2983;96,2378;89,3073;83,402;69,6464;
22568_1995;1995;geo;MT;195377,25;78,15;6;8;5;1;0;0;1;21;90232601,35;239173606,3;371057544,9;663187609,5;186358,76;171478,09;158301,49;129058,49;1,2312;220,4686;62,2352;651,4304;295,4753647;6,473;80,3252;489,4015;489,8373;489,8979;489,8979;95,7362;87,9851;81,3853;66,2935;
